Subno	BevAdGrp	GameGrp	Channel	P3ampl	TargType
31001	water_ad	IG	Oz	4.00341	beer_target
31001	water_ad	IG	O2	6.84614	beer_target
31008	water_ad	IG	P3	8.32403	beer_target
31008	water_ad	IG	P1	10.83602	beer_target
31008	water_ad	IG	Pz	10.50740	beer_target
31008	water_ad	IG	P2	11.10907	beer_target
31008	water_ad	IG	P4	10.55884	beer_target
31008	water_ad	IG	PO5	11.82950	beer_target
31008	water_ad	IG	PO3	13.20497	beer_target
31008	water_ad	IG	POz	13.83130	beer_target
31008	water_ad	IG	PO4	13.68057	beer_target
31008	water_ad	IG	PO6	14.02811	beer_target
31008	water_ad	IG	O1	12.03079	beer_target
31008	water_ad	IG	Oz	10.52201	beer_target
31008	water_ad	IG	O2	11.26844	beer_target
31010	water_ad	IG	P3	0.87880	beer_target
31010	water_ad	IG	P1	0.66410	beer_target
31010	water_ad	IG	Pz	0.90955	beer_target
31010	water_ad	IG	P2	0.01266	beer_target
31010	water_ad	IG	P4	-0.49156	beer_target
31010	water_ad	IG	PO5	0.06244	beer_target
31010	water_ad	IG	PO3	0.11650	beer_target
31010	water_ad	IG	POz	0.21999	beer_target
31010	water_ad	IG	PO4	-0.94766	beer_target
31010	water_ad	IG	PO6	0.06482	beer_target
31010	water_ad	IG	O1	-0.35314	beer_target
31010	water_ad	IG	Oz	-0.96434	beer_target
31010	water_ad	IG	O2	0.62745	beer_target
31014	water_ad	IG	P3	9.45055	beer_target
31014	water_ad	IG	P1	11.22546	beer_target
31014	water_ad	IG	Pz	13.92884	beer_target
31014	water_ad	IG	P2	14.93141	beer_target
31014	water_ad	IG	P4	16.00377	beer_target
31014	water_ad	IG	PO5	11.22423	beer_target
31014	water_ad	IG	PO3	12.19461	beer_target
31014	water_ad	IG	POz	12.94679	beer_target
31014	water_ad	IG	PO4	13.53142	beer_target
31014	water_ad	IG	PO6	15.37355	beer_target
31014	water_ad	IG	O1	9.85077	beer_target
31014	water_ad	IG	Oz	8.47649	beer_target
31014	water_ad	IG	O2	10.64338	beer_target
31018	water_ad	IG	P3	13.90142	beer_target
31018	water_ad	IG	P1	13.76810	beer_target
31018	water_ad	IG	Pz	14.78578	beer_target
31018	water_ad	IG	P2	13.35371	beer_target
31018	water_ad	IG	P4	13.60198	beer_target
31018	water_ad	IG	PO5	16.42843	beer_target
31018	water_ad	IG	PO3	17.10059	beer_target
31018	water_ad	IG	POz	16.28530	beer_target
31018	water_ad	IG	PO4	14.86697	beer_target
31018	water_ad	IG	PO6	14.98730	beer_target
31018	water_ad	IG	O1	16.10884	beer_target
31018	water_ad	IG	Oz	14.13566	beer_target
31018	water_ad	IG	O2	13.88052	beer_target
31023	water_ad	IG	P3	3.28641	beer_target
31023	water_ad	IG	P1	2.85442	beer_target
31023	water_ad	IG	Pz	1.91434	beer_target
31023	water_ad	IG	P2	3.23505	beer_target
31023	water_ad	IG	P4	4.39816	beer_target
31023	water_ad	IG	PO5	7.38362	beer_target
31023	water_ad	IG	PO3	6.51234	beer_target
31023	water_ad	IG	POz	5.16921	beer_target
31023	water_ad	IG	PO4	5.80912	beer_target
31023	water_ad	IG	PO6	8.38008	beer_target
31023	water_ad	IG	O1	7.50731	beer_target
31023	water_ad	IG	Oz	4.77022	beer_target
31023	water_ad	IG	O2	7.92849	beer_target
31028	water_ad	IG	P3	8.61595	beer_target
31028	water_ad	IG	P1	8.29613	beer_target
31028	water_ad	IG	Pz	7.78510	beer_target
31028	water_ad	IG	P2	8.67199	beer_target
31028	water_ad	IG	P4	10.48005	beer_target
31028	water_ad	IG	PO5	10.17642	beer_target
31028	water_ad	IG	PO3	7.96939	beer_target
31028	water_ad	IG	POz	7.54434	beer_target
31028	water_ad	IG	PO4	7.79379	beer_target
31028	water_ad	IG	PO6	10.76478	beer_target
31028	water_ad	IG	O1	8.84796	beer_target
31028	water_ad	IG	Oz	7.71867	beer_target
31028	water_ad	IG	O2	7.27732	beer_target
31030	water_ad	IG	P3	4.29432	beer_target
31030	water_ad	IG	P1	3.37836	beer_target
31030	water_ad	IG	Pz	3.40314	beer_target
31030	water_ad	IG	P2	6.03441	beer_target
31030	water_ad	IG	P4	5.06744	beer_target
31030	water_ad	IG	PO5	8.73403	beer_target
31030	water_ad	IG	PO3	9.18736	beer_target
31030	water_ad	IG	POz	9.47420	beer_target
31030	water_ad	IG	PO4	8.99831	beer_target
31030	water_ad	IG	PO6	8.56457	beer_target
31030	water_ad	IG	O1	11.69843	beer_target
31030	water_ad	IG	Oz	10.16932	beer_target
31030	water_ad	IG	O2	10.32784	beer_target
31036	water_ad	IG	P3	8.17163	beer_target
31036	water_ad	IG	P1	10.18535	beer_target
31036	water_ad	IG	Pz	10.77073	beer_target
31036	water_ad	IG	P2	10.33927	beer_target
31036	water_ad	IG	P4	9.23602	beer_target
31036	water_ad	IG	PO5	7.99037	beer_target
31036	water_ad	IG	PO3	9.45262	beer_target
31036	water_ad	IG	POz	10.12315	beer_target
31036	water_ad	IG	PO4	9.33934	beer_target
31036	water_ad	IG	PO6	8.51889	beer_target
31036	water_ad	IG	O1	7.08611	beer_target
31036	water_ad	IG	Oz	3.06310	beer_target
31036	water_ad	IG	O2	4.09009	beer_target
31038	water_ad	IG	P3	4.98748	beer_target
31038	water_ad	IG	P1	6.68506	beer_target
31038	water_ad	IG	Pz	8.37288	beer_target
31038	water_ad	IG	P2	7.85908	beer_target
31038	water_ad	IG	P4	8.01963	beer_target
31038	water_ad	IG	PO5	5.62020	beer_target
31038	water_ad	IG	PO3	6.98011	beer_target
31038	water_ad	IG	POz	8.43991	beer_target
31038	water_ad	IG	PO4	8.33399	beer_target
31038	water_ad	IG	PO6	8.36195	beer_target
31038	water_ad	IG	O1	4.54405	beer_target
31038	water_ad	IG	Oz	5.09560	beer_target
31038	water_ad	IG	O2	7.01091	beer_target
31041	water_ad	IG	P3	3.03703	beer_target
31041	water_ad	IG	P1	3.12426	beer_target
31041	water_ad	IG	Pz	2.87550	beer_target
31041	water_ad	IG	P2	5.09890	beer_target
31041	water_ad	IG	P4	7.01912	beer_target
31041	water_ad	IG	PO5	4.51771	beer_target
31041	water_ad	IG	PO3	4.42031	beer_target
31041	water_ad	IG	POz	5.18867	beer_target
31041	water_ad	IG	PO4	6.44002	beer_target
31041	water_ad	IG	PO6	8.93521	beer_target
31041	water_ad	IG	O1	5.42441	beer_target
31041	water_ad	IG	Oz	4.35050	beer_target
31041	water_ad	IG	O2	7.05364	beer_target
31047	water_ad	IG	P3	9.37330	beer_target
31047	water_ad	IG	P1	13.01928	beer_target
31047	water_ad	IG	Pz	13.60171	beer_target
31047	water_ad	IG	P2	13.78401	beer_target
31047	water_ad	IG	P4	12.67886	beer_target
31047	water_ad	IG	PO5	9.37199	beer_target
31047	water_ad	IG	PO3	10.97898	beer_target
31047	water_ad	IG	POz	11.73261	beer_target
31047	water_ad	IG	PO4	11.47054	beer_target
31047	water_ad	IG	PO6	11.11628	beer_target
31047	water_ad	IG	O1	7.58969	beer_target
31047	water_ad	IG	Oz	7.41429	beer_target
31047	water_ad	IG	O2	7.62711	beer_target
31052	water_ad	IG	P3	14.09616	beer_target
31052	water_ad	IG	P1	16.06545	beer_target
31052	water_ad	IG	Pz	18.07569	beer_target
31052	water_ad	IG	P2	14.81743	beer_target
31052	water_ad	IG	P4	14.53938	beer_target
31052	water_ad	IG	PO5	11.09482	beer_target
31052	water_ad	IG	PO3	11.80837	beer_target
31052	water_ad	IG	POz	12.65039	beer_target
31052	water_ad	IG	PO4	12.25450	beer_target
31052	water_ad	IG	PO6	12.33460	beer_target
31052	water_ad	IG	O1	4.79909	beer_target
31052	water_ad	IG	Oz	4.71924	beer_target
31052	water_ad	IG	O2	6.20556	beer_target
31053	water_ad	IG	P3	13.16876	beer_target
31053	water_ad	IG	P1	16.39084	beer_target
31053	water_ad	IG	Pz	16.72551	beer_target
31053	water_ad	IG	P2	16.96120	beer_target
31053	water_ad	IG	P4	15.40117	beer_target
31053	water_ad	IG	PO5	16.51658	beer_target
31053	water_ad	IG	PO3	17.96565	beer_target
31053	water_ad	IG	POz	15.59857	beer_target
31053	water_ad	IG	PO4	17.77593	beer_target
31053	water_ad	IG	PO6	18.00104	beer_target
31053	water_ad	IG	O1	9.63029	beer_target
31053	water_ad	IG	Oz	8.88181	beer_target
31053	water_ad	IG	O2	10.04080	beer_target
31058	water_ad	IG	P3	9.56837	beer_target
31058	water_ad	IG	P1	9.84806	beer_target
31058	water_ad	IG	Pz	8.92155	beer_target
31058	water_ad	IG	P2	8.07108	beer_target
31058	water_ad	IG	P4	7.76450	beer_target
31058	water_ad	IG	PO5	11.73182	beer_target
31058	water_ad	IG	PO3	12.08519	beer_target
31058	water_ad	IG	POz	10.24981	beer_target
31058	water_ad	IG	PO4	9.00890	beer_target
31058	water_ad	IG	PO6	8.55276	beer_target
31058	water_ad	IG	O1	10.60883	beer_target
31058	water_ad	IG	Oz	7.13651	beer_target
31058	water_ad	IG	O2	7.27264	beer_target
31061	water_ad	IG	P3	-3.49300	beer_target
31061	water_ad	IG	P1	-3.81534	beer_target
31061	water_ad	IG	Pz	-3.50131	beer_target
31061	water_ad	IG	P2	-2.14286	beer_target
31061	water_ad	IG	P4	-0.28085	beer_target
31061	water_ad	IG	PO5	0.13185	beer_target
