Subject,Site,Gender,AlcQF_Baseline,AlcQF_Baseline_log,UIQ,UIQ_centered,TrialNum,TargetStimulus,Target_Beverage,Target_Context,Response_Label,Response
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,764,CUbeer3.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,769,ASwater5.jpg,Water,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,774,ASbeer4.jpg,Beer,Outgroup,Unpleasant,0
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,784,CUbeer4.jpg,Beer,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,795,CUwater6.jpg,Water,Ingroup,Pleasant,1
11002,CU,Male,19.25,2.957511061,5.56,1.39517544,799,ASbeer1.jpg,Beer,Outgroup,Unpleasant,0
11003,CU,Fema,7,1.945910149,4.67,0.50517544,5,CUbeer5.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,10,CUwater3.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,14,ASwater2.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,24,ASwater7.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,30,CUbeer2.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,35,ASbeer2.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,40,ASbeer1.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,50,ASbeer5.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,54,ASbeer7.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,70,ASbeer4.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,74,CUbeer7.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,89,ASwater3.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,94,CUwater4.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,99,ASbeer6.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,105,CUbeer4.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,109,CUwater5.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,115,CUwater1.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,119,CUbeer8.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,125,CUwater8.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,134,ASwater5.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,139,ASbeer8.jpg,Beer,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,145,ASwater4.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,149,CUwater2.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,155,ASwater6.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,165,ASwater8.jpg,Water,Outgroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,169,CUwater6.jpg,Water,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,174,CUbeer1.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,179,CUbeer3.jpg,Beer,Ingroup,Pleasant,1
11003,CU,Fema,7,1.945910149,4.67,0.50517544,185,ASwater1.jpg,Water,Outgroup,Pleasant,1
